ID,resID,atmilitary,atreligion,ated,atprof,atinc,atrace,atage,atmale,selected,rating
0,A2NEN4NSNS2O8S,Did Not Serve,Mormon,Community college,Car dealer,5.1M,White,75,Female,0,0.3333333333333333
1,A2NEN4NSNS2O8S,Served,None,No BA,High school teacher,65K,Asian American,60,Male,1,0.5
2,A2NEN4NSNS2O8S,Did Not Serve,Catholic,Small college,Farmer,32K,Native American,68,Female,1,0.6666666666666666
3,A2NEN4NSNS2O8S,Served,Mainline protestant,Small college,Doctor,54K,White,75,Male,0,0.6666666666666666
4,A2NEN4NSNS2O8S,Served,None,Baptist college,Doctor,5.1M,Native American,45,Female,0,0.3333333333333333
5,A2NEN4NSNS2O8S,Served,Mainline protestant,No BA,Lawyer,54K,White,52,Male,1,0.5
6,A2NEN4NSNS2O8S,Served,None,Baptist college,Business owner,5.1M,Native American,52,Male,0,0.3333333333333333
7,A2NEN4NSNS2O8S,Did Not Serve,Jewish,State university,Car dealer,5.1M,Hispanic,75,Female,1,0.5
8,A2NEN4NSNS2O8S,Served,Mainline protestant,Ivy League university,Lawyer,32K,White,75,Female,0,0.5
9,A2NEN4NSNS2O8S,Did Not Serve,Mainline protestant,Small college,Business owner,54K,Black,60,Female,1,0.5
10,AER6QB956X70W,Served,Catholic,Baptist college,Farmer,32K,White,45,Male,0,0.8333333333333334
11,AER6QB956X70W,Served,Mormon,State university,Doctor,5.1M,Hispanic,45,Male,1,0.8333333333333334
12,AER6QB956X70W,Did Not Serve,None,Small college,Doctor,92K,Native American,45,Male,1,0.8333333333333334
13,AER6QB956X70W,Did Not Serve,Jewish,Small college,High school teacher,32K,Caucasian,60,Male,0,0.5
14,AER6QB956X70W,Served,Mainline protestant,Ivy League university,High school teacher,92K,Caucasian,36,Male,1,0.6666666666666666
15,AER6QB956X70W,Did Not Serve,Evangelical protestant,Baptist college,Car dealer,210K,White,75,Male,0,0.16666666666666666
16,AER6QB956X70W,Served,Mormon,State university,Lawyer,92K,Native American,60,Female,1,0.8333333333333334
17,AER6QB956X70W,Served,Jewish,No BA,Doctor,210K,White,75,Female,0,0.16666666666666666
18,AER6QB956X70W,Served,Mainline protestant,Community college,Farmer,92K,White,36,Female,1,0.8333333333333334
19,AER6QB956X70W,Served,Mormon,Ivy League university,Car dealer,65K,Hispanic,36,Male,0,0.8333333333333334
20,A288AP9SG4Y1VD,Did Not Serve,None,State university,High school teacher,65K,Hispanic,36,Male,0,0.5
21,A288AP9SG4Y1VD,Served,Evangelical protestant,Ivy League university,Lawyer,92K,Black,36,Male,1,0.6666666666666666
22,A288AP9SG4Y1VD,Did Not Serve,None,State university,High school teacher,32K,Caucasian,75,Female,0,0.16666666666666666
23,A288AP9SG4Y1VD,Served,Mainline protestant,State university,High school teacher,92K,Asian American,36,Female,1,
24,A288AP9SG4Y1VD,Served,Mainline protestant,Ivy League university,Car dealer,54K,Hispanic,36,Female,0,0.0
25,A288AP9SG4Y1VD,Did Not Serve,Jewish,Small college,Lawyer,92K,Hispanic,68,Male,1,0.5
26,A288AP9SG4Y1VD,Did Not Serve,None,Ivy League university,High school teacher,5.1M,White,52,Female,1,0.5
27,A288AP9SG4Y1VD,Served,Evangelical protestant,Community college,Farmer,65K,Hispanic,60,Male,0,0.5
28,A288AP9SG4Y1VD,Did Not Serve,Catholic,Community college,Lawyer,210K,Caucasian,52,Female,1,0.6666666666666666
29,A288AP9SG4Y1VD,Did Not Serve,Catholic,No BA,High school teacher,92K,Black,75,Female,0,0.3333333333333333
30,A2A4XJS8LQMNZD,Did Not Serve,Jewish,State university,Doctor,54K,Hispanic,68,Female,0,0.6666666666666666
31,A2A4XJS8LQMNZD,Served,Mormon,Ivy League university,High school teacher,54K,Black,36,Female,1,0.8333333333333334
32,A2A4XJS8LQMNZD,Did Not Serve,Mormon,Community college,Car dealer,65K,Black,60,Male,1,0.8333333333333334
33,A2A4XJS8LQMNZD,Did Not Serve,Mormon,Small college,High school teacher,210K,White,68,Male,0,0.5
34,A2A4XJS8LQMNZD,Served,None,Ivy League university,Farmer,92K,Black,36,Male,1,0.8333333333333334
35,A2A4XJS8LQMNZD,Served,Catholic,Community college,Lawyer,54K,Hispanic,75,Female,0,0.6666666666666666
36,A2A4XJS8LQMNZD,Did Not Serve,Mainline protestant,Baptist college,High school teacher,210K,Hispanic,68,Female,1,0.6666666666666666
